rank,player,position,team,offense,defense,stamina,discipline,total
34,Justin Meza,F,India,-0.47925486097153713,1.7789995108235668,1.4820763480768746,0.5614214665152565,1.2997446498520295
35,Joseph Johnson,F,Solomon Islands,-1.7972880693235478,1.7747054333399659,-0.299910647660546,0.25018425729239885,-0.0225826359835819
36,John Friedman,F,Equatorial Guinea,1.350665019251132,1.7723033107261517,0.916889721622678,0.599554958554071,3.122968329977284
37,Sean Campbell,G,Suriname,-0.7139850062868327,1.7595656198708383,0.2232292649554948,-0.7852402237138031,1.0455806135840056
38,Christian Cox,F,Madagascar,1.6217994464968934,1.7477772663393392,0.2633689339071192,-0.16632624966022444,3.3695767128362326
39,Bradley Cummings,F,Equatorial Guinea,0.9760169053428839,1.7281326804498667,0.3055231217950956,0.035159831136253025,2.7041495857927504
40,Michael Zuniga,G,Macao,1.3718264484578502,1.7270552659281544,-0.869493909445731,-0.05755745933138683,3.0988817143860046
41,Grant Roberts,F,Suriname,1.3085307958760213,1.7217855577650112,-0.45348547628225444,1.0202867027438411,3.0303163536410325
42,Stephen Powell,D,Latvia,1.1302485255394232,1.7120231679677187,-0.4232781068770342,0.09321831267630648,2.8422716935071417
43,Donald Norman,F,Syrian Arab Republic,0.3165279414853091,1.694686114827266,1.2646894170599918,-0.5895769593943895,2.0112140563125753
44,Kevin Thomas,F,Saint Barthelemy,1.304649659003637,1.6793673103180073,-0.5259008261706583,-0.5910815174419045,2.9840169693216443
45,Lee Powers,D,Norway,1.1609071695722561,1.6073775646805553,1.0308611446047853,0.22751147086467446,2.7682847342528114
46,Christopher Quinn,F,Yemen,-0.04845712354507471,1.605816552219044,0.32489448703395407,0.3834926332292209,1.5573594286739691
47,Melvin Thompson,G,Portugal,0.4024694289598841,1.604402430412904,0.209843738124622,-1.274973930098017,2.0068718593727883
48,Stephen Perez,D,Holy See (Vatican City State),0.6655232649803551,1.6001837075887877,0.8000380593473486,-0.7584469369483609,2.2657069725691428
49,David Nash,D,Anguilla,0.2388301228893974,1.5966746680601824,-0.26289285000479423,2.0204834263450504,1.8355047909495799
50,James Johnston,F,Yemen,0.31764594631021387,1.5873053835891957,-1.7222041704270017,-0.3233419352137855,1.9049513298994096
