matchweek,home_team,away_team
6,Great Britain,United States
6,Poland,Croatia
6,Finland,Canada
6,Estonia,Latvia
6,Netherlands,Ukraine
7,Russia,Austria
7,Denmark,Great Britain
7,Belgium,China
7,Slovakia,Sweden
7,Norway,France
7,Spain,Finland
7,Japan,Canada
7,Lithuania,Ukraine
7,Croatia,South Korea
7,Kazakhstan,Italy
7,Estonia,Slovenia
7,Germany,Switzerland
7,United States,Poland
7,Hungary,Latvia
7,Belarus,Romania
7,Netherlands,Czech Republic
8,Russia,Canada
8,Sweden,Denmark
8,Kazakhstan,China
8,Belgium,Estonia
8,Finland,France
8,South Korea,Spain
8,Slovakia,Slovenia
8,Austria,Norway
8,Ukraine,Italy
8,Hungary,Japan
8,Belarus,Germany
8,Switzerland,Lithuania
8,Netherlands,Great Britain
8,United States,Latvia
8,Croatia,Romania
8,Poland,Czech Republic
9,Norway,Russia
9,Denmark,Ukraine
9,Estonia,Belgium
9,France,Japan
9,Hungary,China
9,Austria,Italy
9,Sweden,Finland
9,Slovakia,Croatia
9,Lithuania,Poland
9,Kazakhstan,South Korea
9,Canada,Great Britain
9,Romania,Switzerland
9,Slovenia,Germany
9,Latvia,Belarus
9,Netherlands,United States
9,Czech Republic,Spain
10,Russia,Hungary
10,Slovakia,Belgium
10,Canada,Norway
10,China,Ukraine
10,France,Italy
10,Austria,Denmark
10,Latvia,Finland
10,Slovenia,Japan
10,Spain,Sweden
10,Lithuania,Switzerland
10,Kazakhstan,Croatia
10,Germany,Great Britain
10,Estonia,Netherlands
10,Belarus,Czech Republic
10,United States,Romania
10,Poland,South Korea
11,Japan,Russia
11,Belgium,Belarus
11,Finland,Poland
11,United States,China
11,Romania,Norway
11,Canada,Slovakia
11,Ukraine,Spain
11,Croatia,Slovenia
11,France,Italy
11,Germany,Hungary
11,Denmark,Czech Republic
11,Switzerland,Great Britain
11,Estonia,Latvia
11,Kazakhstan,South Korea
11,Austria,Netherlands
11,Sweden,Lithuania
12,Denmark,Russia
12,Slovakia,Czech Republic
12,Hungary,Ukraine
12,Norway,Belarus
12,Romania,Finland
12,Japan,Slovenia
12,Canada,Netherlands
12,South Korea,Spain
12,United States,Sweden
12,Croatia,Austria
12,France,Kazakhstan
12,Great Britain,Estonia
12,Germany,Poland
12,Switzerland,Latvia
12,Belgium,Lithuania
12,Italy,China
13,Estonia,Slovakia
13,Denmark,Finland
13,Russia,Norway
13,France,Belarus
13,Spain,Hungary
13,Japan,Great Britain
13,China,Romania
13,Lithuania,Canada
13,South Korea,Italy
13,Slovenia,Latvia
13,Czech Republic,Belgium
13,Switzerland,Sweden
13,Poland,Ukraine
13,Germany,Austria
13,Croatia,Kazakhstan
13,United States,Netherlands
14,Sweden,Slovakia
14,Finland,Germany
14,Russia,Belarus
14,Norway,Romania
14,Belgium,Spain
14,Hungary,Estonia
14,Czech Republic,Canada
14,Japan,South Korea
14,China,Ukraine
14,Great Britain,Austria
14,France,Slovenia
14,Netherlands,Denmark
14,Poland,Lithuania
14,Italy,Switzerland
14,Croatia,Kazakhstan
14,Latvia,United States
15,Slovakia,Czech Republic
15,Croatia,Russia
15,China,Spain
15,Romania,Ukraine
15,Austria,Finland
15,Italy,Japan
15,Denmark,Belarus
15,Poland,Norway
15,Lithuania,Estonia
15,Belgium,Hungary
15,Sweden,Great Britain
15,France,Canada
15,Slovenia,South Korea
15,Kazakhstan,Germany
15,Netherlands,Switzerland
16,China,Slovakia
16,Finland,Norway
16,Czech Republic,Great Britain
16,Ukraine,Romania
16,Hungary,Croatia
16,Russia,Switzerland
16,Lithuania,Slovenia
16,Italy,Austria
16,Spain,Belgium
16,Latvia,Poland
16,Belarus,France
16,Estonia,Denmark
16,South Korea,Netherlands
16,Canada,Germany
16,Kazakhstan,Japan
16,Sweden,United States
17,Canada,China
17,Slovakia,Russia
17,Norway,Czech Republic
17,Croatia,Belarus
17,Ukraine,Lithuania
17,Hungary,Poland
17,Finland,Slovenia
17,Switzerland,Denmark
17,Japan,Romania
17,Belgium,Germany
17,Great Britain,Italy
17,Estonia,Sweden
17,Austria,Spain
17,United States,France
17,Kazakhstan,Latvia
17,Netherlands,South Korea
18,Germany,Slovakia
18,Belarus,China
18,Norway,Switzerland
18,Lithuania,Czech Republic
18,Russia,Sweden
18,Croatia,Hungary
18,Finland,Estonia
18,Ukraine,Great Britain
18,Romania,Denmark
18,Belgium,Japan
18,Italy,Poland
18,Canada,Austria
18,United States,France
18,Slovenia,Netherlands
18,Latvia,Spain
18,South Korea,Kazakhstan
19,Switzerland,Slovakia
19,Netherlands,China
19,Norway,Kazakhstan
19,Ukraine,Japan
19,Lithuania,Denmark
19,Hungary,Germany
19,Spain,Russia
19,France,Romania
19,Belarus,United States
19,Canada,Finland
19,Sweden,Belgium
19,Italy,Great Britain
19,Poland,Slovenia
19,South Korea,Austria
19,Latvia,Estonia
19,Croatia,Czech Republic
20,France,Slovakia
20,China,Czech Republic
20,Canada,Ukraine
20,Denmark,Switzerland
20,Kazakhstan,Finland
20,Great Britain,Norway
20,Russia,Latvia
20,Estonia,Japan
20,Lithuania,Belarus
20,Italy,Sweden
20,Hungary,Spain
20,Romania,Netherlands
20,South Korea,Germany
20,Austria,Belgium
20,United States,Slovenia
20,Croatia,Poland
21,France,Slovakia
21,Czech Republic,Denmark
21,Norway,Lithuania
21,Finland,Austria
21,China,Belarus
21,United States,Great Britain
21,Croatia,Ukraine
21,Estonia,Romania
21,Hungary,Slovenia
21,Netherlands,Belgium
21,Italy,Sweden
21,Spain,Poland
21,Germany,Switzerland
21,Japan,Kazakhstan
21,Canada,Latvia
21,Russia,South Korea
22,France,China
22,Denmark,Norway
22,Czech Republic,Germany
22,Slovakia,Sweden
22,South Korea,Belarus
22,Finland,Croatia
22,Hungary,United States
22,Slovenia,Ukraine
22,Great Britain,Canada
22,Austria,Switzerland
22,Lithuania,Latvia
22,Estonia,Poland
22,Romania,Russia
22,Japan,Netherlands
22,Spain,Italy
22,Belgium,Kazakhstan
23,Romania,France
23,Norway,Finland
23,China,Austria
23,Denmark,Slovenia
23,Czech Republic,Switzerland
23,Slovakia,United States
23,South Korea,Ukraine
23,Belarus,Estonia
23,Great Britain,Germany
23,Russia,Belgium
23,Lithuania,Japan
23,Kazakhstan,Sweden
23,Canada,Poland
23,Croatia,Netherlands
23,Italy,Latvia
23,Hungary,Spain
24,France,Russia
24,China,Switzerland
24,Belarus,Czech Republic
24,Denmark,Canada
24,Finland,United States
24,Slovakia,Norway
24,Slovenia,Romania
24,Germany,Sweden
24,Kazakhstan,Lithuania
24,Poland,Great Britain
24,Belgium,Ukraine
24,Estonia,South Korea
24,Austria,Hungary
24,Netherlands,Spain
24,Japan,Italy
24,Latvia,Croatia
25,China,Netherlands
25,Great Britain,Denmark
25,Slovenia,Slovakia
25,Czech Republic,Romania
25,Spain,Norway
25,Poland,France
25,United States,Canada
25,Hungary,Switzerland
25,Austria,Russia
25,Germany,Croatia
25,Lithuania,Italy
25,Estonia,Finland
25,Kazakhstan,Ukraine
25,Sweden,Japan
25,Belgium,South Korea
25,Belarus,Latvia
26,Switzerland,China
26,Russia,Czech Republic
26,Great Britain,France
26,Slovakia,Ukraine
26,Denmark,United States
26,Belarus,Norway
26,Romania,Slovenia
26,Finland,Netherlands
26,Hungary,Belgium
26,Poland,Spain
26,Austria,Germany
26,South Korea,Croatia
26,Italy,Estonia
26,Sweden,Latvia
26,Canada,Japan
26,Kazakhstan,Lithuania
27,China,Kazakhstan
27,Czech Republic,Great Britain
27,Norway,Switzerland
27,Lithuania,Slovakia
27,Denmark,Italy
27,Germany,France
27,Hungary,Belarus
27,Ukraine,Canada
27,Latvia,Slovenia
27,Belgium,Poland
27,Austria,United States
27,Russia,Finland
27,Sweden,South Korea
27,Estonia,Spain
27,Croatia,Romania
27,Japan,Netherlands
28,Belgium,China
28,Switzerland,Czech Republic
28,Romania,Great Britain
28,Norway,Denmark
28,Slovakia,Latvia
28,France,Netherlands
28,Poland,Finland
28,United States,Estonia
28,Hungary,Lithuania
28,Ukraine,Japan
28,Belarus,Italy
28,South Korea,Sweden
28,Germany,Russia
28,Slovenia,Spain
28,Austria,Canada
29,China,South Korea
29,Hungary,Czech Republic
29,Norway,Sweden
29,Slovakia,Lithuania
29,Slovenia,Great Britain
29,Austria,Denmark
29,Finland,Latvia
29,Canada,France
29,Russia,Romania
29,Germany,United States
29,Belarus,Japan
29,Kazakhstan,Belgium
29,Estonia,Ukraine
29,Netherlands,Spain
29,Switzerland,Italy
29,Croatia,Poland
30,China,Latvia
30,Czech Republic,Slovakia
30,Norway,Austria
30,Denmark,Estonia
30,Switzerland,Hungary
30,Great Britain,Slovenia
30,Ukraine,France
30,Kazakhstan,Romania
30,Belgium,Canada
30,Finland,Sweden
30,Belarus,Croatia
30,Lithuania,Netherlands
30,United States,Russia
30,Japan,Germany
30,South Korea,Poland
30,Italy,Spain
31,Japan,China
31,Netherlands,Norway
31,Italy,Czech Republic
31,Denmark,United States
31,Belgium,Slovakia
31,Great Britain,France
31,Austria,Switzerland
31,Slovenia,Lithuania
31,Kazakhstan,Romania
31,Spain,Ukraine
31,Sweden,Estonia
31,Hungary,Poland
31,Russia,Belarus
31,Germany,Finland
31,South Korea,Latvia
31,Canada,Croatia
32,China,South Korea
32,Russia,Czech Republic
32,Denmark,France
32,Canada,Slovakia
32,Germany,Switzerland
32,Poland,Kazakhstan
32,Great Britain,Japan
32,Norway,Spain
32,Finland,Sweden
32,Hungary,Netherlands
32,Ukraine,Croatia
32,Belgium,Lithuania
32,Austria,Belarus
32,Latvia,Romania
32,Slovenia,United States
32,Estonia,Italy
33,China,Lithuania
33,Czech Republic,Finland
33,Norway,Slovakia
33,Denmark,Sweden
33,Belarus,France
33,Canada,Switzerland
33,Poland,Belgium
33,Russia,Estonia
33,Japan,Hungary
33,South Korea,Ukraine
33,Netherlands,Austria
33,Italy,Kazakhstan
33,Spain,Romania
33,Germany,Latvia
33,United States,Croatia
34,Czech Republic,Switzerland
34,France,Latvia
34,Slovakia,United States
34,Italy,Denmark
34,China,Croatia
34,Belgium,Spain
34,Great Britain,Belarus
34,Sweden,Ukraine
34,Finland,Romania
34,Norway,Estonia
34,South Korea,Lithuania
34,Netherlands,Russia
34,Kazakhstan,Slovenia
34,Hungary,Austria
34,Japan,Poland
34,Canada,Germany
35,Finland,Czech Republic
35,France,Hungary
35,Netherlands,Slovakia
35,Canada,Denmark
35,China,Russia
35,Great Britain,Switzerland
35,Japan,Belgium
35,Sweden,Norway
35,Latvia,Poland
35,United States,Lithuania
35,Italy,Ukraine
35,Germany,Belarus
35,Spain,Kazakhstan
35,South Korea,Estonia
35,Romania,Croatia
35,Slovenia,Austria
36,Czech Republic,Ukraine
36,Hungary,Denmark
36,Netherlands,France
36,Russia,Slovakia
36,China,Japan
36,Latvia,Belgium
36,Lithuania,Great Britain
36,Canada,Belarus
36,Finland,Italy
36,Norway,Poland
36,Romania,United States
36,Estonia,Kazakhstan
36,Switzerland,Austria
36,Spain,Slovenia
36,Sweden,Croatia
37,Belarus,Czech Republic
37,Denmark,Great Britain
37,France,Croatia
37,Slovakia,Italy
37,China,Hungary
37,Belgium,Slovenia
37,Lithuania,Poland
37,Netherlands,Romania
37,Estonia,Canada
37,Japan,Ukraine
37,Finland,Switzerland
37,Austria,Russia
37,Kazakhstan,United States
37,Germany,Sweden
37,Latvia,Spain
37,Norway,South Korea
38,Czech Republic,Sweden
38,Denmark,Switzerland
38,France,South Korea
38,Russia,Slovakia
38,China,Slovenia
38,Canada,Belgium
38,Romania,Hungary
38,Germany,Lithuania
38,Austria,Great Britain
38,United States,Ukraine
38,Japan,Finland
38,Norway,Netherlands
38,Belarus,Spain
38,Poland,Latvia
38,Italy,Croatia
38,Kazakhstan,Estonia
39,Latvia,Czech Republic
39,France,Great Britain
39,Slovakia,Netherlands
39,Denmark,Norway
39,China,Spain
39,Belgium,Estonia
39,Sweden,Hungary
39,Lithuania,Ukraine
39,Canada,Italy
39,Belarus,Poland
39,Russia,Slovenia
39,Austria,Finland
39,Japan,South Korea
39,Romania,Croatia
39,Germany,Kazakhstan
39,Switzerland,United States
40,Czech Republic,France
40,Slovakia,Poland
40,Great Britain,Russia
40,China,Latvia
40,Lithuania,Norway
40,Belarus,Hungary
40,Belgium,Netherlands
40,Croatia,Denmark
40,Ukraine,Kazakhstan
40,Romania,Canada
40,Finland,Spain
40,Sweden,Italy
40,Austria,Germany
40,Switzerland,Japan
40,United States,South Korea
40,Slovenia,Estonia
41,France,Czech Republic
41,Slovakia,Switzerland
41,Romania,China
41,Norway,Hungary
41,Germany,Belgium
41,Japan,Lithuania
41,Canada,Russia
41,Belarus,Finland
41,Netherlands,Italy
41,Ukraine,United States
41,Great Britain,Spain
41,Kazakhstan,Denmark
41,Austria,Croatia
41,Sweden,Poland
41,Latvia,Slovenia
41,Estonia,South Korea
42,Slovenia,Czech Republic
42,France,Canada
42,Germany,Slovakia
42,Estonia,Hungary
42,Denmark,Norway
42,Lithuania,Spain
42,China,Poland
42,Belgium,South Korea
42,Switzerland,Belarus
42,Great Britain,Sweden
42,Ukraine,Russia
42,Japan,Latvia
42,Austria,Italy
42,Kazakhstan,Netherlands
42,Croatia,Romania
42,United States,Finland
43,Belgium,Czech Republic
43,Austria,France
43,Russia,Slovakia
43,Hungary,Ukraine
43,Poland,Lithuania
43,Norway,Japan
43,Netherlands,China
43,Italy,Belarus
43,Canada,United States
43,South Korea,Romania
43,Denmark,Spain
43,Great Britain,Kazakhstan
43,Switzerland,Estonia
43,Croatia,Germany
43,Slovenia,Sweden
44,Canada,Czech Republic
44,France,Germany
44,Norway,Slovakia
44,Hungary,Lithuania
44,China,Romania
44,Japan,Denmark
44,Belarus,Belgium
44,Ukraine,Switzerland
44,Russia,Kazakhstan
44,South Korea,Great Britain
44,Netherlands,Poland
44,Spain,United States
44,Austria,Latvia
44,Croatia,Finland
44,Italy,Slovenia
45,Czech Republic,Netherlands
45,Belarus,Slovakia
45,France,Spain
45,Germany,Ukraine
45,Lithuania,Finland
45,Slovenia,Hungary
45,China,Norway
45,Italy,Canada
45,Denmark,Japan
45,Belgium,Croatia
45,Great Britain,Romania
45,Poland,United States
45,Kazakhstan,Austria
45,Switzerland,South Korea
45,Russia,Sweden
45,Latvia,Estonia
46,Czech Republic,United States
46,France,Ukraine
46,Japan,Slovakia
46,Lithuania,Germany
46,Hungary,Canada
46,Belarus,Russia
46,Slovenia,China
46,Denmark,Italy
46,Poland,Spain
46,Netherlands,Latvia
46,Austria,Great Britain
46,Belgium,Norway
46,Romania,South Korea
46,Switzerland,Finland
46,Croatia,Estonia
47,Czech Republic,Latvia
47,United States,Slovakia
47,Sweden,France
47,Hungary,Japan
47,China,Spain
47,Belarus,Denmark
47,Austria,Lithuania
47,Slovenia,Canada
47,Russia,Croatia
47,Italy,Norway
47,Belgium,Poland
47,Estonia,Netherlands
47,Finland,Great Britain
47,Ukraine,South Korea
47,Switzerland,Germany
47,Romania,Kazakhstan
48,Czech Republic,Estonia
48,Latvia,Slovakia
48,China,France
48,Finland,Belarus
48,Belgium,Japan
48,Norway,United States
48,Croatia,Lithuania
48,Canada,Hungary
48,Austria,Ukraine
48,Italy,Switzerland
48,Netherlands,Sweden
48,Russia,Germany
48,Romania,Slovenia
48,Great Britain,South Korea
48,Poland,Denmark
48,Kazakhstan,Spain
49,Czech Republic,Kazakhstan
49,Slovakia,Russia
49,South Korea,France
49,Latvia,Lithuania
49,China,Denmark
49,Belarus,Ukraine
49,Canada,Romania
49,Hungary,Slovenia
49,Poland,Japan
49,Switzerland,Italy
49,Netherlands,Spain
49,Germany,Norway
49,Sweden,United States
49,Belgium,Croatia
49,Estonia,Austria
49,Great Britain,Finland
50,Czech Republic,Italy
50,Great Britain,Slovakia
50,France,United States
50,Finland,Lithuania
50,Sweden,Canada
50,Croatia,Ukraine
50,Slovenia,Belarus
50,Estonia,Hungary
50,China,Germany
50,Denmark,Austria
50,Russia,Poland
50,South Korea,Japan
50,Belgium,Kazakhstan
50,Spain,Netherlands
50,Romania,Latvia
50,Switzerland,Norway
51,Romania,Czech Republic
51,Slovakia,Kazakhstan
51,Lithuania,France
51,China,United States
51,Japan,Ukraine
51,Belarus,Sweden
51,Norway,Canada
51,Denmark,Croatia
51,Finland,Russia
51,Latvia,Great Britain
51,Germany,Austria
51,Italy,Switzerland
51,Hungary,South Korea
51,Belgium,Netherlands
51,Slovenia,Poland
51,Estonia,Spain
52,Czech Republic,Sweden
52,France,Switzerland
52,Lithuania,Belgium
52,Denmark,Slovakia
52,Estonia,Belarus
52,Ukraine,Austria
52,Kazakhstan,Hungary
52,Japan,Spain
52,Canada,Great Britain
52,China,Finland
52,United States,Germany
52,Poland,Italy
52,Russia,Netherlands
52,Slovenia,Croatia
52,Norway,Latvia
52,Romania,South Korea
53,Sweden,Czech Republic
53,Russia,France
53,Lithuania,United States
53,Belarus,Switzerland
53,Austria,Canada
53,China,Estonia
53,Denmark,Finland
53,Ukraine,Latvia
53,Germany,Japan
53,Kazakhstan,Netherlands
53,Croatia,Spain
53,Norway,Belgium
53,Slovakia,Hungary
53,Great Britain,Italy
53,Slovenia,Romania
53,Poland,South Korea
54,Czech Republic,Poland
54,France,Germany
54,Sweden,Belarus
54,Switzerland,Canada
54,Lithuania,Estonia
54,United States,Denmark
54,Austria,Kazakhstan
54,Finland,Norway
54,Russia,Ukraine
54,Italy,Netherlands
54,Croatia,China
54,South Korea,Japan
54,Romania,Hungary
54,Spain,Great Britain
54,Slovenia,Belgium
55,Czech Republic,Hungary
55,Croatia,France
55,Italy,Lithuania
55,Belarus,Germany
55,Estonia,Ukraine
55,Poland,Canada
55,Sweden,China
55,Great Britain,Switzerland
55,Norway,Finland
55,Kazakhstan,Russia
55,Austria,Slovakia
55,Spain,Japan
55,Latvia,Denmark
55,Netherlands,Belgium
55,Slovenia,South Korea
56,Czech Republic,Austria
56,France,Russia
56,Belarus,Lithuania
56,Ukraine,Estonia
56,United States,Hungary
56,Belgium,Sweden
56,Romania,Germany
56,Slovakia,Finland
56,South Korea,China
56,Switzerland,Netherlands
56,Croatia,Japan
56,Norway,Great Britain
56,Canada,Denmark
56,Kazakhstan,Latvia
56,Poland,Slovenia
57,Canada,Czech Republic
57,Belarus,Russia
57,Estonia,Lithuania
57,France,Finland
57,Latvia,Ukraine
57,Hungary,Kazakhstan
57,Austria,Germany
57,Denmark,China
57,Belgium,Switzerland
57,Great Britain,Netherlands
57,Croatia,Slovakia
57,Japan,Norway
57,Italy,United States
57,Romania,Spain
57,Poland,Sweden
57,South Korea,Slovenia
58,Czech Republic,Italy
58,Canada,France
58,Lithuania,Poland
58,China,Estonia
58,United States,Belarus
58,Spain,Ukraine
58,Germany,Slovenia
58,Belgium,Hungary
58,Great Britain,Norway
58,Switzerland,Russia
58,Latvia,Sweden
58,Finland,Kazakhstan
58,Romania,Austria
58,Croatia,Japan
58,South Korea,Denmark
59,Czech Republic,Russia
59,Estonia,Germany
59,Belarus,Great Britain
59,Ukraine,China
59,Hungary,Slovenia
59,Japan,France
59,Finland,Italy
59,Spain,Austria
59,United States,Canada
59,Croatia,Belgium
59,Netherlands,Poland
59,Latvia,Switzerland
59,Lithuania,Kazakhstan
59,Sweden,Romania
59,Denmark,Slovakia
60,United States,Czech Republic
60,Belarus,Finland
60,France,Poland
60,Lithuania,Hungary
60,Japan,Spain
60,Slovakia,Germany
60,Russia,China
60,Netherlands,Ukraine
60,South Korea,Canada
60,Croatia,Great Britain
60,Switzerland,Kazakhstan
60,Denmark,Romania
60,Italy,Norway
60,Belgium,Latvia
60,Austria,Slovenia
61,Czech Republic,Slovakia
61,Hungary,Latvia
61,Canada,Finland
61,China,Lithuania
61,Belarus,Denmark
61,Russia,Spain
61,Japan,United States
61,Slovenia,Ukraine
61,Belgium,France
61,Poland,Austria
61,Italy,South Korea
61,Netherlands,Kazakhstan
61,Sweden,Switzerland
61,Germany,Estonia
61,Croatia,Norway
62,Czech Republic,Norway
62,Great Britain,Hungary
62,Japan,Latvia
62,Ukraine,Slovakia
62,Russia,Denmark
62,Spain,Switzerland
62,Belarus,Austria
62,Finland,China
62,Estonia,Lithuania
62,France,United States
62,Canada,Italy
62,Kazakhstan,Slovenia
62,Romania,Sweden
62,South Korea,Belgium
62,Croatia,Netherlands
62,Poland,Germany
63,Great Britain,Czech Republic
63,Hungary,Romania
63,Latvia,Japan
63,China,Poland
63,Finland,Russia
63,Germany,Denmark
63,Ukraine,Kazakhstan
63,Spain,Lithuania
63,France,Norway
63,United States,Italy
63,Canada,Switzerland
63,Belgium,Slovenia
63,Netherlands,Estonia
63,Slovakia,Belarus
63,Croatia,Sweden
64,Czech Republic,Germany
64,Ukraine,Hungary
64,China,Italy
64,France,Great Britain
64,Latvia,Canada
64,Japan,Estonia
64,Finland,Denmark
64,Poland,Russia
64,Croatia,United States
64,Lithuania,Romania
64,Kazakhstan,Slovakia
64,Spain,Netherlands
64,Norway,Slovenia
64,South Korea,Switzerland
64,Belarus,Sweden
64,Belgium,Austria
65,Czech Republic,China
65,Hungary,Croatia
65,Estonia,Russia
65,Japan,Switzerland
65,Denmark,Germany
65,Finland,France
65,Lithuania,Latvia
65,Romania,Ukraine
65,Italy,Slovakia
65,United States,Great Britain
65,Kazakhstan,Belarus
65,Spain,Belgium
65,Canada,Sweden
65,Netherlands,Slovenia
65,Austria,Norway
66,Austria,Czech Republic
66,Great Britain,China
66,Denmark,Hungary
66,Estonia,Japan
66,Belgium,Ukraine
66,South Korea,Finland
66,Latvia,Russia
66,Norway,United States
66,Spain,Croatia
66,Kazakhstan,France
66,Lithuania,Slovenia
66,Poland,Romania
66,Belarus,Canada
66,Germany,Italy
66,Sweden,Netherlands
66,Slovakia,Switzerland
67,Spain,Czech Republic
67,Norway,China
67,Ukraine,Poland
67,Russia,Japan
67,Denmark,Lithuania
67,United States,Austria
67,Kazakhstan,Great Britain
67,Estonia,France
67,Sweden,Finland
67,Croatia,Canada
67,Slovakia,Romania
67,Slovenia,Hungary
67,Belarus,Netherlands
67,Italy,Belgium
67,Latvia,South Korea
67,Switzerland,Germany
68,Kazakhstan,Czech Republic
68,China,Great Britain
68,Poland,Estonia
68,Ukraine,Netherlands
68,France,Norway
68,Denmark,Sweden
68,Lithuania,Croatia
68,Austria,United States
68,Finland,Japan
68,Italy,Russia
68,Spain,Belarus
68,Germany,Romania
68,Canada,South Korea
68,Switzerland,Slovenia
68,Belgium,Latvia
69,Ukraine,Czech Republic
69,Estonia,Poland
69,Norway,Russia
69,Spain,Denmark
69,Latvia,Lithuania
69,Finland,Germany
69,Japan,Romania
69,Slovakia,Great Britain
69,South Korea,United States
69,Slovenia,Kazakhstan
69,Austria,China
69,Croatia,Hungary
69,Belarus,Switzerland
69,Canada,France
69,Belgium,Netherlands
70,Czech Republic,United States
70,Germany,Norway
70,Switzerland,Ukraine
70,Estonia,Lithuania
70,Finland,Denmark
70,Japan,Poland
70,Russia,Great Britain
70,Slovenia,France
70,Slovakia,China
70,Italy,Austria
70,Kazakhstan,Canada
70,Latvia,Romania
70,Sweden,Spain
70,Netherlands,Belarus
70,South Korea,Hungary
71,Czech Republic,Norway
71,Ukraine,South Korea
71,Kazakhstan,Poland
71,Lithuania,Sweden
71,Estonia,United States
71,Finland,Belgium
71,Denmark,France
71,Germany,Russia
71,Switzerland,Spain
71,Belarus,Great Britain
71,China,Slovenia
71,Italy,Slovakia
71,Austria,Romania
71,Netherlands,Japan
71,Croatia,Latvia
72,Czech Republic,Belarus
72,Estonia,Norway
72,Latvia,Poland
72,Japan,Sweden
72,Italy,Finland
72,Switzerland,United States
72,Denmark,Germany
72,Kazakhstan,Ukraine
72,Lithuania,China
72,Slovakia,Spain
72,Hungary,France
72,Great Britain,Belgium
72,Croatia,Slovenia
72,Netherlands,Romania
72,Canada,Russia
73,Czech Republic,Finland
73,Hungary,Norway
73,Poland,Estonia
73,France,Denmark
73,South Korea,Ukraine
73,Great Britain,Sweden
73,Lithuania,Spain
73,Latvia,China
73,United States,Belgium
73,Switzerland,Croatia
73,Netherlands,Germany
73,Japan,Kazakhstan
73,Canada,Slovenia
73,Romania,Italy
73,Belarus,Slovakia
74,Czech Republic,Croatia
74,Poland,Ukraine
74,Norway,Sweden
74,Estonia,Switzerland
74,Finland,Slovakia
74,United States,Spain
74,Denmark,Kazakhstan
74,Germany,Great Britain
74,Italy,Russia
74,Japan,Slovenia
74,Belarus,Canada
74,Lithuania,South Korea
74,China,Belgium
74,Latvia,Austria
74,Netherlands,Hungary
75,Czech Republic,Belarus
75,Poland,China
75,Ukraine,Sweden
75,Spain,Estonia
75,Finland,Slovakia
75,Great Britain,Lithuania
75,Denmark,Latvia
75,United States,Japan
75,Norway,Germany
75,Russia,Switzerland
75,Canada,Kazakhstan
75,Austria,Italy
75,Romania,Belgium
75,Netherlands,Slovenia
75,Croatia,South Korea
76,Czech Republic,France
76,Great Britain,Slovakia
76,Sweden,Denmark
76,Spain,Germany
76,Estonia,Croatia
76,Belarus,United States
76,Ukraine,Belgium
76,Slovenia,Norway
76,Japan,Kazakhstan
76,Poland,Latvia
76,Russia,Lithuania
76,China,Canada
76,Hungary,Finland
77,Czech Republic,Slovenia
77,Slovakia,France
77,Sweden,Norway
77,Denmark,South Korea
77,Spain,China
77,Great Britain,Poland
77,Croatia,Estonia
77,Russia,United States
77,Latvia,Ukraine
77,Romania,Japan
77,Belgium,Italy
77,Lithuania,Netherlands
77,Germany,Canada
77,Austria,Belarus
77,Kazakhstan,Switzerland
77,Finland,Hungary
78,Czech Republic,South Korea
78,Slovakia,Denmark
78,Italy,United States
